EPD Stratiplots
Sat Apr 20 19:05:27 2019
Doing 1842 of 2570 - DIMA1 
Doing 1843 of 2570 - DIMA2 
Doing 1844 of 2570 - DIMA3 
Doing 1845 of 2570 - DIMA4 
Doing 1846 of 2570 - LEBONSEI 
Doing 1847 of 2570 - DUVAN 
Doing 1848 of 2570 - DUVAN1 
Doing 1849 of 2570 - DUVAN2 
Doing 1850 of 2570 - MLBOURNE 
Doing 1851 of 2570 - ELG107 
Doing 1852 of 2570 - ENM109 
Doing 1853 of 2570 - ENM126 
Doing 1854 of 2570 - ENMYN 
Doing 1855 of 2570 - MALPAS1 
Doing 1856 of 2570 - ENTARNOY 
Doing 1857 of 2570 - GLADKOYE 
Doing 1858 of 2570 - GLUKHOYE 
Doing 1859 of 2570 - GLUPEAT 
Doing 1860 of 2570 - GOLUBOY 
Doing 1861 of 2570 - MALPAS2 
Doing 1862 of 2570 - IGARKA 
Doing 1863 of 2570 - JACKW 
Doing 1864 of 2570 - KALIST 
Doing 1865 of 2570 - KARGA 
Doing 1866 of 2570 - KARGOPOL 
Doing 1867 of 2570 - KAYAKSK 
Doing 1868 of 2570 - CENSEAU 
Doing 1869 of 2570 - KHALER 
Doing 1870 of 2570 - KHOMUR 
Doing 1871 of 2570 - KOLYMA 
Doing 1872 of 2570 - KOMARIT 
Doing 1873 of 2570 - KONERG 
Doing 1874 of 2570 - KRASIV 
Doing 1875 of 2570 - KRASIV1 
Doing 1876 of 2570 - KRASIV2 
Doing 1877 of 2570 - KREST 
Doing 1878 of 2570 - NARBIEF 
Doing 1879 of 2570 - KUBAGA 
Doing 1880 of 2570 - KUR1 
Doing 1881 of 2570 - KURPEAT 
Doing 1882 of 2570 - KURLAKE 
Doing 1883 of 2570 - KUROP4 
Doing 1884 of 2570 - KUROP7 
Doing 1885 of 2570 - KUR10730 
Doing 1886 of 2570 - KURO12 
Doing 1887 of 2570 - KUR2 
Doing 1888 of 2570 - MALTAN 
Doing 1889 of 2570 - KURO11 
Doing 1890 of 2570 - CCMSUD 
Doing 1891 of 2570 - LAKEEV 
Doing 1892 of 2570 - LEDOBOZ 
Doing 1893 of 2570 - LUKA 
Doing 1894 of 2570 - CHALIN20 
Doing 1895 of 2570 - GROZONS8 
Doing 1896 of 2570 - LESNANS 
Doing 1897 of 2570 - MOUPLEUR 
Doing 1898 of 2570 - MAMENM 
Doing 1899 of 2570 - MANYUI 
