"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth"
1121,"HOPSTOP",936,"Hopschensee",8.023056,46.2525,2026,"CHE","Switzerland",71,2,2,2,0,54
1122,"HOPSCHEN",936,"Hopschensee",8.023056,46.2525,2026,"CHE","Switzerland",68,13,2,2,0,600
1123,"HOPSCH1",936,"Hopschensee",8.023056,46.2525,2026,"CHE","Switzerland",49,0,1,1,NA,NA
1124,"CHUTTI4",937,"Chutti Boltigen",7.3925,46.633333,952,"CHE","Switzerland",22,4,1,1,NA,NA
1125,"CHUTTI3",937,"Chutti Boltigen",7.3925,46.633333,952,"CHE","Switzerland",30,0,1,1,NA,NA
1126,"CHUTTI",937,"Chutti Boltigen",7.3925,46.633333,952,"CHE","Switzerland",42,0,2,2,488,650
1127,"LUISSEL",938,"Etang de Luissel Bex",7.0175,46.237222,522,"CHE","Switzerland",31,3,2,2,65,472
1128,"MACUN",939,"Macun Val Zeznina ob Zernez",10.132778,46.728333,2626,"CHE","Switzerland",24,0,1,1,NA,NA
1129,"MONTCARR",940,"Mont Carré Hérémence",7.368611,46.153889,2295,"CHE","Switzerland",39,3,2,2,0,420
1130,"LOERM1",941,"Lörmoos Bern",7.413333,46.983889,606,"CHE","Switzerland",23,1,1,1,NA,NA
1131,"LOERM2",941,"Lörmoos Bern",7.413333,46.983889,606,"CHE","Switzerland",18,0,1,1,NA,NA
1132,"LOERMOOS",941,"Lörmoos Bern",7.413333,46.983889,606,"CHE","Switzerland",34,0,2,2,292,366
1133,"MOTTA",942,"Motta Naluns",10.264722,46.810833,2215,"CHE","Switzerland",54,13,2,2,0,300
1134,"DOVJOK",943,"Dovjok Swamp",28.25,48.75,274,"UKR","Ukraine",48,10,2,2,NA,480
1135,"KARDAS",944,"Kardashinski Swamp",32.616667,46.516667,4,"UKR","Ukraine",38,13,2,2,NA,NA
1136,"NILEDS2",945,"Nile Delta S2",31.6,31.3,1,"EGY","Egypt",4,2,1,2,NA,NA
1137,"NILEDS6",946,"Nile Delta S6",31.716667,31.108333,2,"EGY","Egypt",4,2,1,2,NA,NA
1138,"OBERAAR",947,"Oberaar",8.255556,46.547222,2380,"CHE","Switzerland",42,2,2,2,0,80
1139,"OBERGEST",948,"Obergestelen Zweisimmen",7.435,46.5825,1810,"CHE","Switzerland",35,0,NA,NA,NA,NA
1140,"OPPLIGEN",949,"Oppligen",7.594167,46.831111,590,"CHE","Switzerland",45,0,1,1,NA,NA
1141,"MOKHOVOE",950,"Mokhovoye",64.25,53.766667,178,"KAZ","Kazakhstan",33,5,1,2,NA,NA
1142,"PILLON",951,"Pillon Gsteig-Diablerets",7.198611,46.359722,1686,"CHE","Switzerland",53,9,2,2,0,400
1143,"RIFFEL",952,"Riffelsee",7.761944,45.983333,2762,"CHE","Switzerland",18,0,2,2,0,18
1144,"RL305",468,"Rotsee",8.325833,47.075833,428,"CHE","Switzerland",68,41,2,2,900,1060
1145,"RL170",468,"Rotsee",8.325833,47.075833,428,"CHE","Switzerland",44,0,1,1,NA,NA
1146,"ROBII33",953,"Alpi di Robièi Val Bavona",8.518333,46.445,1936,"CHE","Switzerland",46,7,2,2,0,600
1147,"ROBII30",953,"Alpi di Robièi Val Bavona",8.518333,46.445,1936,"CHE","Switzerland",46,2,1,1,NA,NA
1148,"ROB316",953,"Alpi di Robièi Val Bavona",8.518333,46.445,1936,"CHE","Switzerland",37,2,1,1,NA,NA
1149,"PRRODET",954,"Praz Rodet",6.173611,46.566667,1040,"CHE","Switzerland",142,18,2,2,0,472
1150,"PALLUNG",955,"Palü Lunga ob Ramosch",10.378611,46.85,1903,"CHE","Switzerland",20,0,1,1,NA,NA
1151,"SEEBERG",956,"Seebergsee",7.443333,46.577222,1835,"CHE","Switzerland",185,0,1,2,0,417
1152,"TREPALLE",957,"Trepalle Livigno",10.183056,46.518889,2020,"ITA","Italy",12,0,1,1,NA,NA
1153,"ROTMOOS",958,"Rotmoos-Eriz",7.843056,46.795556,1190,"CHE","Switzerland",57,0,1,2,0,550
1154,"SAANENM",959,"Saanenmöser",7.311667,46.518611,1283,"CHE","Switzerland",51,0,1,2,34.5,128
1155,"SAEGIST",960,"Sägistalsee",7.9775,46.681389,1940,"CHE","Switzerland",212,12,2,2,0,1347
1156,"SCHOENW",961,"Schönwies",11.029167,46.848611,2635,"AUT","Austria",92,7,2,2,0,232.5
1157,"SCHOEPF",962,"Schöpfenwaldmoor",7.847778,46.743611,1453,"CHE","Switzerland",54,9,2,2,-2.5,93.5
1158,"SCHWAVS",963,"Schwarzsee VS",7.706944,45.990833,2554,"CHE","Switzerland",9,0,1,2,0,14
1159,"SCHWAFR",964,"Schwarzsee FR",7.268056,46.670278,1346,"CHE","Switzerland",58,1,2,1,0,1280
1160,"SCHWARZS",965,"Schwarzsee Reschenscheideck",10.478333,46.87,1725,"AUT","Austria",42,6,2,2,0,530
1161,"SPITTEL",966,"Simplon/Gampisch-Alter Spittel",8.011389,46.231111,1885,"CHE","Switzerland",55,11,2,2,0,430
1162,"SCHWENDI",967,"Schwendital",8.995278,47.108611,1254,"CHE","Switzerland",20,0,NA,NA,NA,NA
1163,"SUEFT1",968,"Süftenenegg",7.398889,46.734444,1555,"CHE","Switzerland",10,0,1,1,NA,NA
1164,"SUEFT2",968,"Süftenenegg",7.398889,46.734444,1555,"CHE","Switzerland",19,2,1,1,NA,NA
1165,"SUEFTGRO",969,"Süfternen-Grönegg",7.375,46.735556,1520,"CHE","Switzerland",14,0,1,1,NA,NA
1166,"TROGMOOS",970,"Trogenmoos",7.863889,46.761944,1484,"CHE","Switzerland",46,2,2,2,0,86
1167,"UMBRAIL",971,"Umbrail",10.434722,46.543889,2490,"CHE","Switzerland",21,3,2,2,0,200
1168,"XIRES",972,"Xirès Montana",7.472222,46.309167,1501,"CHE","Switzerland",43,1,2,2,148,472
1169,"YCOR",973,"Etang d'y Cor Montana",7.479167,46.311667,1506,"CHE","Switzerland",91,6,2,2,0,867
1170,"WALLB1",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",41,12,2,2,0,300
1171,"WALLB3",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",10,1,NA,NA,NA,NA
1172,"WALLB8",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",12,1,NA,NA,NA,NA
1173,"WALLB9",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",13,1,NA,NA,NA,NA
1174,"WACHS",975,"Wachseldorn Untermoos",7.735,46.821944,980,"CHE","Switzerland",53,28,2,2,0,182
1175,"WACHSOE",975,"Wachseldorn Untermoos",7.735,46.821944,980,"CHE","Switzerland",22,29,2,2,91,146
1176,"WUNT",975,"Wachseldorn Untermoos",7.735,46.821944,980,"CHE","Switzerland",88,23,2,2,0,500
1177,"PSM90III",976,"Lej da San Murezzan",9.85,46.495,1770,"CHE","Switzerland",180,22,2,1,0,650
1178,"WAXECK",977,"Waxeckalm",11.833333,47.033333,2285,"AUT","Austria",53,5,2,2,0,249
1179,"DORTMUND",978,"Dortmunder Hütte",11.004167,47.210556,1915,"AUT","Austria",45,6,2,2,0,199
1180,"MIEMING",979,"Mieminger See",10.976389,47.291667,800,"AUT","Austria",94,3,2,2,0,720
1181,"NILEDS7",980,"Nile Delta S7",31.866667,31.125,1,"EGY","Egypt",5,2,1,2,NA,NA
1182,"NILEDS8",981,"Nile Delta S8",32.033333,31.216667,0,"EGY","Egypt",4,4,2,2,NA,NA
1183,"KATZENL",982,"Katzenloch",11.125,47.341667,1220,"AUT","Austria",43,4,2,2,25,183
1184,"SEEFELD",983,"Seefelder See",11.191667,47.323611,1200,"AUT","Austria",71,0,2,2,0,600
1185,"KIRCHB",984,"Kirchbichl",12.090278,47.511111,512,"AUT","Austria",69,6,2,2,150,837
1186,"EGELSEE",985,"Egelsee",12.170833,47.6125,549,"AUT","Austria",91,4,2,2,0,670
1187,"MIESBERG",986,"Miesberg",12.273889,47.649444,670,"AUT","Austria",42,3,2,2,80,380
1188,"LUTZENB",987,"Lutzenberg",12.360278,47.4625,815,"AUT","Austria",44,3,2,2,0,150
1189,"GIERING",988,"Giering",12.358333,47.471389,820,"AUT","Austria",81,5,2,2,0,530
1190,"HASENM",989,"Hasenmoos",12.377222,47.473889,770,"AUT","Austria",90,1,1,2,0,810
1191,"WASENM1",990,"Wasenmoos",12.4175,47.305833,1205,"AUT","Austria",48,3,1,1,NA,NA
1192,"WASENM2",990,"Wasenmoos",12.4175,47.305833,1205,"AUT","Austria",16,1,1,1,NA,NA
1193,"SOMMERS",991,"Sommersüss",11.678333,46.760833,870,"ITA","Italy",121,5,2,2,0,530
1194,"RINDERP",992,"Rinderplatz",11.494444,46.644722,1780,"ITA","Italy",118,4,2,2,0,550
1195,"DURA",993,"Dura-Moor",11.458889,46.64,2080,"ITA","Italy",101,6,2,2,0,495
1196,"MALSCH",994,"Malschötscher Hotter",11.458333,46.666111,2050,"ITA","Italy",55,5,2,2,0,250
1197,"SCHWARZ",995,"Schwarzsee",11.431944,46.666389,2033,"ITA","Italy",88,2,2,2,0,400
