"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth","optional"
1537,"OH2A",1227,"Kunstátská",16.45,50.25,1005,"CZE","Czech Republic",15,0,NA,NA,NA,NA,TRUE
1538,"SA21A",1228,"Malá niva",13.816111,48.913889,754,"CZE","Czech Republic",53,3,NA,NA,NA,NA,TRUE
1539,"MARTINKO",1229,"Martínkovice",16.337778,50.546667,390,"CZE","Czech Republic",35,0,NA,NA,NA,NA,TRUE
1540,"PS6A",1230,"Mladotice",13.795278,49.222778,633,"CZE","Czech Republic",14,0,NA,NA,NA,NA,TRUE
1541,"PS3A",1231,"Nahorany",13.83,49.137222,659,"CZE","Czech Republic",20,0,NA,NA,NA,NA,TRUE
1542,"PS7A",1232,"Nemcice",13.801389,49.191944,556,"CZE","Czech Republic",14,0,NA,NA,NA,NA,TRUE
1543,"SA11A",1233,"Rokytecká slat",13.411944,49.015278,1077,"CZE","Czech Republic",67,1,NA,NA,NA,NA,TRUE
1544,"CV6A",1234,"Stálkov",15.300556,49.027778,633,"CZE","Czech Republic",17,0,NA,NA,NA,NA,TRUE
1545,"SA19A",1235,"Strázenská slat",13.742222,48.898889,804,"CZE","Czech Republic",68,2,NA,NA,NA,NA,TRUE
1546,"CV8A",1236,"Suchdol",15.241667,49.132778,634,"CZE","Czech Republic",40,0,NA,NA,NA,NA,TRUE
1547,"TEPLUDOL",1237,"Teplické údolí",16.131667,50.585,715,"CZE","Czech Republic",54,5,NA,NA,NA,NA,TRUE
1548,"BK3A",1238,"Královec",18.027778,49.131944,599,"CZE","Czech Republic",26,2,NA,NA,NA,NA,TRUE
1549,"KANCELAR",1239,"Kancelársky prikop",16.104167,50.646667,677,"CZE","Czech Republic",23,2,NA,NA,NA,NA,TRUE
1550,"KRAVIHOR",1240,"Kraví Hora",16.1525,50.584167,713,"CZE","Czech Republic",25,2,NA,NA,NA,NA,TRUE
1551,"SA16C",1241,"Mrtv8 luh",13.883056,48.866944,737,"CZE","Czech Republic",136,4,NA,NA,NA,NA,TRUE
1552,"VLCIROKL",1242,"Vlci rokle",16.128333,50.604444,583,"CZE","Czech Republic",47,4,NA,NA,NA,NA,TRUE
1553,"ELPAYO",1243,"El Payo",-6.771111,40.253333,984,"ESP","Spain",20,1,NA,NA,NA,NA,TRUE
1554,"PIRULEJO",1244,"El Pirulejo",-4.195,37.438889,660,"ESP","Spain",16,1,NA,NA,NA,NA,TRUE
1555,"PRAZO",1245,"Prazo",-7.243333,41.072222,660,"PRT","Portugal",5,0,NA,NA,NA,NA,TRUE
1556,"LLIGAT",1246,"Posidonia Lligat",-3.291111,42.292222,-3,"ESP","Spain",32,5,NA,NA,NA,NA,TRUE
1557,"CASILLAS",1247,"Puerto de Casillas",-4.568889,40.333056,1200,"ESP","Spain",7,0,NA,NA,NA,NA,TRUE
1558,"CERIPAS",1248,"Laguna de Ceripas",-5.605833,41.831944,678,"ESP","Spain",9,0,NA,NA,NA,NA,TRUE
1559,"PPARDA",1249,"Peña Parda",-2.626111,42.599167,975,"ESP","Spain",12,0,NA,NA,NA,NA,TRUE
1560,"ADAJA",1250,"Almenara de Adaja",-4.668056,41.191944,784,"ESP","Spain",25,2,NA,NA,NA,NA,TRUE
1561,"MOLINAES",1251,"La Molina mire",6.327222,43.381111,650,"ESP","Spain",152,6,NA,NA,NA,NA,TRUE
1562,"AREO",1252,"Monte Areo mire",-5.768889,43.528889,200,"ESP","Spain",55,12,NA,NA,NA,NA,TRUE
1563,"CARRANQU",1253,"Toledo Carranque",-3.900833,40.169444,661,"ESP","Spain",3,0,NA,NA,NA,NA,TRUE
1564,"SAUCEDO",1254,"El Saucedo",-4.8925,39.936111,366,"ESP","Spain",4,0,NA,NA,NA,NA,TRUE
1565,"PANERA",1255,"Turbera de La Panera Cabras",-5.758056,40.165833,1648,"ESP","Spain",23,1,NA,NA,NA,NA,TRUE
1566,"CUCU",1256,"Cucú cueva",-2.258056,37.638611,1600,"ESP","Spain",4,0,NA,NA,NA,NA,TRUE
1567,"PEPA",1257,"Sierra de la Pepa",-6.014722,39.39,518,"ESP","Spain",5,0,NA,NA,NA,NA,TRUE
1568,"SERRANIL",1258,"Puerto de Serranillos",-4.934167,40.307222,1700,"ESP","Spain",34,4,NA,NA,NA,NA,TRUE
1569,"CANALEJA",1259,"Canaleja",-2.45,40.9,1029,"ESP","Spain",6,2,NA,NA,NA,NA,TRUE
